StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which year group are you in?,How much programming experience did you have prior to university?,Please select an answer for each of the following statements - I feel confident using Python for data analysis,Please select an answer for each of the following statements - The Python programming courses made me more interested in programming,Please select an answer for each of the following statements - The Python programming courses helped me appreciate where programming can be applied in chemistry,Please select an answer for each of the following statements - I enjoyed practical programming exercises,Please select an answer for each of the following statements - Teachers and assistants provided quick support during the programming sessions,Please select an answer for each of the following statements - Teachers and assistants provided quick support outside of the programming sessions,Please select an answer for each of the following statements - I received detailed feedback about my Python code and how to imporve it,"How often do you use Python in labs/ courses (e.g. for data analysis, simulations etc.)?",Are there any aspects about the usage of Python in your courses that could improve the learning experience?,Are there any other aspects about Python programming that you would like to be covered?,Please select an answer for each of the following statements - I enjoy solving programming exercises on my own,Please select an answer for each of the following statements - I would enjoy learning more about applications of Python in chemistry,Please select an answer for each of the following statements - I would enjoy receiving feedback from my colleague on my code,Please select an answer for each of the following statements - I would like to participate in Python programming games worth small course credit,Please select an answer for each of the following statements - I would enjoy working in small groups to solve programming exercises,Please select an answer for each of the following statements - I would enjoy giving feedback to my peers on their code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}"
2023-02-15 04:31:06,2023-02-15 04:31:22,Survey Preview,,100,15,True,2023-02-15 04:31:23,R_1CDyWsLVUh4pPAp,,,,,51.5042,-0.2199,preview,EN,,,,,,,,,,,,,,,,,,
2023-02-15 05:40:43,2023-02-15 05:41:45,IP Address,146.169.249.253,100,61,True,2023-02-15 05:41:45,R_3fH3P6E5QWRfW2P,,,,,51.4719,-0.1616,anonymous,EN,Year 3,None at all,Agree,Completely Agree,Completely Agree,Completely Agree,Neutral,Disagree,Completely Disagree,"4- Mostly use Python, sometimes use Excel or other programs",,,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree
2023-02-15 05:41:17,2023-02-15 05:42:21,IP Address,90.196.1.41,100,63,True,2023-02-15 05:42:21,R_3MKAYcTLcYtgAuU,,,,,51.477,-0.1959,anonymous,EN,Year 2,Beginner,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Agree,Neutral,Neutral,"4- Mostly use Python, sometimes use Excel or other programs",,,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree
2023-02-15 05:41:12,2023-02-15 05:42:31,IP Address,86.146.5.152,100,79,True,2023-02-15 05:42:32,R_2DZHDwVRONEHkZd,,,,,51.5042,-0.2199,anonymous,EN,Year 2,None at all,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,"4- Mostly use Python, sometimes use Excel or other programs",,,Completely Disagree,Agree,Completely Agree,Completely Disagree,Agree,Neutral
2023-02-15 05:41:01,2023-02-15 05:42:35,IP Address,146.169.241.106,100,94,True,2023-02-15 05:42:35,R_11ZR25ZoL00JV2F,,,,,51.5043,-0.2211,anonymous,EN,Year 2,Beginner,Completely Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,"5- Always use Python, never use other programs",,Object Oriented Programming,Agree,Completely Agree,Completely Agree,Agree,Agree,Agree
2023-02-15 05:40:51,2023-02-15 05:42:51,IP Address,81.78.97.9,100,119,True,2023-02-15 05:42:52,R_ZvOlvcMRnIBpowp,,,,,51.5591,-0.2283,anonymous,EN,Year 3,None at all,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,"3- Sometimes use Excel or other programs, sometimes use Python","Need more consistent practice rather than just random one offs ","How to make “good” code rather than just the bare minimum basics ",Neutral,Agree,Agree,Agree,Completely Agree,Agree
2023-02-15 05:41:07,2023-02-15 05:42:52,IP Address,146.169.138.29,100,105,True,2023-02-15 05:42:52,R_3JEggO01ddhjHoU,,,,,51.3488,-0.0321,anonymous,EN,Year 3,Beginner,Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree,"4- Mostly use Python, sometimes use Excel or other programs",,,Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree,Completely Agree
2023-02-15 05:41:39,2023-02-15 05:43:01,IP Address,82.132.233.118,100,82,True,2023-02-15 05:43:02,R_2y1ayRQo0wafDSO,,,,,51.5415,-0.0601,anonymous,EN,Year 2,Beginner,Agree,Agree,Completely Agree,Neutral,Agree,Neutral,Disagree,"4- Mostly use Python, sometimes use Excel or other programs",,,Agree,Neutral,Agree,Agree,Completely Agree,Neutral
