StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q6,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q1,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which year are you in?,How much programming experience did you have before university?,How confident are you to use Python to complete assignments?,What is your level of interest in Python programming?,"Please rank the importance of the following concepts to you - Data types and structures (e.g. arrays, lists, strings, booleans)","Please rank the importance of the following concepts to you - Flow control structures (e.g. conditionals, loops)",Please rank the importance of the following concepts to you - Variable declaration,Please rank the importance of the following concepts to you - Basic syntax,Please rank the importance of the following concepts to you - Functions,Please rank the importance of the following concepts to you - Object-oriented programming,Please rank the importance of the following skills/ topics to you - Debugging (e.g. reading error messages),"Please rank the importance of the following skills/ topics to you - Usage of libraries and packages (e.g. NumPy, Pandas, Matplotlib)","Please rank the importance of the following skills/ topics to you - Good programming practices (e.g. clean code, common practices)",Please rank the importance of the following skills/ topics to you - Understand other people's code,"Please rank the importance of the following skills/ topics to you - Background knowledge of programming (e.g. operating systems, git)",Please rank the importance of the following skills/ topics to you - Applications of programming in chemistry,Anything else you would like to learn in the Python courses?,Please rank how beneficial these activities would be to your learning - Fixing broken code,Please rank how beneficial these activities would be to your learning - Fill in the blank exerices,Please rank how beneficial these activities would be to your learning - Predict the output of the code,Please rank how beneficial these activities would be to your learning - Tweaking parameters/ playing around with existing code examples,Please rank how beneficial these activities would be to your learning - Application-based exercises (using programming to solve a chemical problem),Please rank how beneficial these activities would be to your learning - Debugging exericises,How would you prefer to complete coding exercises? (select the ones apply to you),Any learning activities you would like to participate but not mentioned above?,Please select a response for each of the following statements. - The programming course has provided me with enough knowledge to complete assignments,Please select a response for each of the following statements. - I'd like to have a module specifically on programming,Please select a response for each of the following statements. - A Q&A forum would be beneficial for learning programming,Please select a response for each of the following statements. - I'd like to have more practices on programming (e.g. short coding homework),Please select a response for each of the following statements. - I know where to look up information when I need to code something new,Is there anything that can improve your learning experience?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID1""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID15_TEXT""}"
2023-02-22 05:32:19,2023-02-22 05:33:59,0,146.169.128.41,100,99,1,2023-02-22 05:34:00,R_wTTfVroZbLamgNj,,,,,51.5329,-0.005,anonymous,EN,2,2,3,4,4,4,4,5,5,5,5,3,2,4,3,5,,4,3,5,4,5,5,2,,3,4,4,5,5,
2023-02-22 05:32:30,2023-02-22 05:34:31,0,86.146.5.152,100,121,1,2023-02-22 05:34:32,R_3QEKXhoVWZsuqOk,,,,,51.5042,-0.2199,anonymous,EN,2,1,2,3,4,5,4,5,5,3,5,5,5,5,5,5,,3,5,4,4,5,4,2,,1,1,4,2,4,
2023-02-22 05:33:20,2023-02-22 05:35:46,0,5.151.88.128,100,146,1,2023-02-22 05:35:46,R_2YYC5B3Cyf69FXy,,,,,51.5005,-0.1905,anonymous,EN,3,1,1,3,2,1,2,2,1,2,5,5,5,5,3,5,Please offer more Python lessons to help people who've never used Python before.,5,4,4,5,5,5,1,Please make videos of the lessons,3,4,5,5,4,create a BB discussion forum for coding
2023-02-22 05:36:53,2023-02-22 05:38:31,0,86.25.111.241,100,98,1,2023-02-22 05:38:32,R_25Fwkr7zmnJVUHk,,,,,51.4912,-0.1893,anonymous,EN,3,1,1,1,4,2,2,4,4,3,2,2,2,2,2,2,,2,2,2,2,3,3,"2,3",,4,2,4,4,3,
2023-02-22 05:34:07,2023-02-22 05:39:04,0,146.169.238.58,100,296,1,2023-02-22 05:39:04,R_2s5YDG2fA1tWDr0,,,,,51.4647,-0.0509,anonymous,EN,4,1,1,3,3,4,2,1,5,1,4,5,5,2,5,5,,5,5,3,1,2,1,3,,1,3,1,4,2,
2023-02-22 05:36:23,2023-02-22 05:39:27,0,129.31.66.75,100,184,1,2023-02-22 05:39:28,R_SSJTgN0rw5iH8E9,,,,,51.5043,-0.2211,anonymous,EN,4,1,5,4,5,5,3,5,5,5,5,4,5,2,5,3,Learn cpp,4,2,5,3,5,5,"1,2","Push your project to github ",4,5,1,5,5,Use ChatGPT can settle everything
2023-02-22 05:46:12,2023-02-22 05:48:21,0,188.30.74.151,100,128,1,2023-02-22 05:48:21,R_294ywgDQXDhJaXg,,,,,51.5074,-0.1196,anonymous,EN,3,1,4,5,4,5,5,4,5,4,5,3,3,3,3,4,,4,2,3,3,5,4,"1,2",,5,5,4,5,4,
2023-02-22 05:48:00,2023-02-22 05:50:56,0,109.153.220.247,100,175,1,2023-02-22 05:50:56,R_2zciDk8Zy9dHajx,,,,,51.5507,-0.0998,anonymous,EN,3,1,3,3,4,4,4,3,4,3,5,4,3,4,2,5,,4,4,5,3,4,5,2,,5,4,4,3,2,
