StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q6,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q1,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which year are you in?,How much programming experience did you have before university?,How confident are you to use Python to complete assignments?,What is your level of interest in Python programming?,"Please rank the importance of the following concepts to you - Data types and structures (e.g. arrays, lists, strings, booleans)","Please rank the importance of the following concepts to you - Flow control structures (e.g. conditionals, loops)",Please rank the importance of the following concepts to you - Variable declaration,Please rank the importance of the following concepts to you - Basic syntax,Please rank the importance of the following concepts to you - Functions,Please rank the importance of the following concepts to you - Object-oriented programming,Please rank the importance of the following skills/ topics to you - Debugging (e.g. reading error messages),"Please rank the importance of the following skills/ topics to you - Usage of libraries and packages (e.g. NumPy, Pandas, Matplotlib)","Please rank the importance of the following skills/ topics to you - Good programming practices (e.g. clean code, common practices)",Please rank the importance of the following skills/ topics to you - Understand other people's code,"Please rank the importance of the following skills/ topics to you - Background knowledge of programming (e.g. operating systems, git)",Please rank the importance of the following skills/ topics to you - Applications of programming in chemistry,Anything else you would like to learn in the Python courses?,Please rank how beneficial these activities would be to your learning - Fixing broken code,Please rank how beneficial these activities would be to your learning - Fill in the blank exerices,Please rank how beneficial these activities would be to your learning - Predict the output of the code,Please rank how beneficial these activities would be to your learning - Tweaking parameters/ playing around with existing code examples,Please rank how beneficial these activities would be to your learning - Application-based exercises (using programming to solve a chemical problem),Please rank how beneficial these activities would be to your learning - Debugging exericises,How would you prefer to complete coding exercises? (select the ones apply to you),Any learning activities you would like to participate but not mentioned above?,Please select a response for each of the following statements. - The programming course has provided me with enough knowledge to complete assignments,Please select a response for each of the following statements. - I'd like to have a module specifically on programming,Please select a response for each of the following statements. - A Q&A forum would be beneficial for learning programming,Please select a response for each of the following statements. - I'd like to have more practices on programming (e.g. short coding homework),Please select a response for each of the following statements. - I know where to look up information when I need to code something new,Is there anything that can improve your learning experience?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID1""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID15_TEXT""}"
2023-02-22 05:32:19,2023-02-22 05:33:59,IP Address,146.169.128.41,100,99,True,2023-02-22 05:34:00,R_wTTfVroZbLamgNj,,,,,51.5329,-0.005,anonymous,EN,Year 2,Beginner,Moderately confident,A lot,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Slightly important,Very important,Moderately important,Extremely important,,A lot,A moderate amount,A great deal,A lot,A great deal,A great deal,In pairs,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,
2023-02-22 05:32:30,2023-02-22 05:34:31,IP Address,86.146.5.152,100,121,True,2023-02-22 05:34:32,R_3QEKXhoVWZsuqOk,,,,,51.5042,-0.2199,anonymous,EN,Year 2,None at all,Slightly confident,A moderate amount,Very important,Extremely important,Very important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,A moderate amount,A great deal,A lot,A lot,A great deal,A lot,In pairs,,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,
2023-02-22 05:33:20,2023-02-22 05:35:46,IP Address,5.151.88.128,100,146,True,2023-02-22 05:35:46,R_2YYC5B3Cyf69FXy,,,,,51.5005,-0.1905,anonymous,EN,Year 3,None at all,Not confident at all,A moderate amount,Slightly important,Not at all important,Slightly important,Slightly important,Not at all important,Slightly important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Please offer more Python lessons to help people who've never used Python before.,A great deal,A lot,A lot,A great deal,A great deal,A great deal,By yourself,Please make videos of the lessons,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,create a BB discussion forum for coding
2023-02-22 05:36:53,2023-02-22 05:38:31,IP Address,86.25.111.241,100,98,True,2023-02-22 05:38:32,R_25Fwkr7zmnJVUHk,,,,,51.4912,-0.1893,anonymous,EN,Year 3,None at all,Not confident at all,None at all,Very important,Slightly important,Slightly important,Very important,Very important,Moderately important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,,A little,A little,A little,A little,A moderate amount,A moderate amount,"In pairs,In groups",,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,
2023-02-22 05:34:07,2023-02-22 05:39:04,IP Address,146.169.238.58,100,296,True,2023-02-22 05:39:04,R_2s5YDG2fA1tWDr0,,,,,51.4647,-0.0509,anonymous,EN,Year 4,None at all,Not confident at all,A moderate amount,Moderately important,Very important,Slightly important,Not at all important,Extremely important,Not at all important,Very important,Extremely important,Extremely important,Slightly important,Extremely important,Extremely important,,A great deal,A great deal,A moderate amount,None at all,A little,None at all,In groups,,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,
2023-02-22 05:36:23,2023-02-22 05:39:27,IP Address,129.31.66.75,100,184,True,2023-02-22 05:39:28,R_SSJTgN0rw5iH8E9,,,,,51.5043,-0.2211,anonymous,EN,Year 4,None at all,Extremely confident,A lot,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Slightly important,Extremely important,Moderately important,Learn cpp,A lot,A little,A great deal,A moderate amount,A great deal,A great deal,"By yourself,In pairs","Push your project to github ",Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Use ChatGPT can settle everything
2023-02-22 05:46:12,2023-02-22 05:48:21,IP Address,188.30.74.151,100,128,True,2023-02-22 05:48:21,R_294ywgDQXDhJaXg,,,,,51.5074,-0.1196,anonymous,EN,Year 3,None at all,Very confident,A great deal,Very important,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Moderately important,Moderately important,Moderately important,Moderately important,Very important,,A lot,A little,A moderate amount,A moderate amount,A great deal,A lot,"By yourself,In pairs",,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,
2023-02-22 05:48:00,2023-02-22 05:50:56,IP Address,109.153.220.247,100,175,True,2023-02-22 05:50:56,R_2zciDk8Zy9dHajx,,,,,51.5507,-0.0998,anonymous,EN,Year 3,None at all,Moderately confident,A moderate amount,Very important,Very important,Very important,Moderately important,Very important,Moderately important,Extremely important,Very important,Moderately important,Very important,Slightly important,Extremely important,,A lot,A lot,A great deal,A moderate amount,A lot,A great deal,In pairs,,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,
